ID,name,href,first_party,second_party,winning_party,winner_index,facts
82,Harry Lehman v. City of Shaker Heights,https://api.oyez.org/cases/1973/73-328,Harry Lehman,City of Shaker Heights,,,"<p>Harry Lehman was running for the Ohio House of Representatives in the 56th District, which included the city of Shaker Heights. Lehman wanted to have his campaign advertisements placed on the side of Shaker Heights' streetcars. Metromedia, Inc. was designated by the city to manage that advertisin"
83,"Raymond K. Procunier, Director, California Department of Corrections, et al. v. Robert Martinez, et al.",https://api.oyez.org/cases/1973/72-1465,"Raymond K. Procunier, Director, California Department of Corrections, et al.","Robert Martinez, et al.",,,"<p>Robert Martinez was a prisoner in the California State Prison in San Quentin, California. The California Department of Corrections had regulations which censored mail and which prohibited law students and legal paraprofessionals from conducing interviews with the inmates. </p>
<p>Martinez and oth"
84,"Kinney Kinmon Lau, et al. v. Alan H. Nichols, et al.",https://api.oyez.org/cases/1973/72-6520,"Kinney Kinmon Lau, et al.","Alan H. Nichols, et al.",,,"<p>In 1971, the San Francisco, California school system was integrated. As a result, the San Francisco school system absorbed over 2,856 students of Chinese ancestry who were not proficient in English. Of these students, the school system only provided about 1,000 with supplemental English language "
85,Arnett v. Kennedy,https://api.oyez.org/cases/1973/72-1118,Arnett,Kennedy,Kennedy,1,"<p>Wayne Kennedy was a nonprobationary employee of the federal Office of Economic Opportunity. He was dismissed from his position after allegedly making recklessly false and defamatory statements about other OEO employees. Though he had the right under federal regulations to reply to the charges, he"
86,"Old Dominion Branch No. 496, National Association of Letter Carriers, AFL-CIO v. Henry M. Austin, et al.",https://api.oyez.org/cases/1973/72-1180,"Old Dominion Branch No. 496, National Association of Letter Carriers, AFL-CIO","Henry M. Austin, et al.",,,"<p>In the spring of 1970, Old Dominion Branch No. 496 of the National Association of Letter Carriers was recognized by postal authorities as the exclusive local collective-bargaining representative of the letter carriers of the Richmond, Virginia, area. Although already representing the majority of "
87,DeFunis v. Odegaard,https://api.oyez.org/cases/1973/73-235,DeFunis,Odegaard,,,"<p>DeFunis was denied admission to the University of Washington Law School despite test scores that were higher than some of the minorities admitted. DeFunis then successfully asked a trial court to require the school to admit him. On appeal, the Washington Supreme Court reversed, upholding the scho"
88,"John Lascaris, Commissioner, Dept. of Social Services of Onondaga County v. Sylvia Shirley, Elizabeth Anderson, Jane Doe",https://api.oyez.org/cases/1974/73-1016,"John Lascaris, Commissioner, Dept. of Social Services of Onondaga County","Sylvia Shirley, Elizabeth Anderson, Jane Doe",,,<p>Respondents alleged that a section the New York welfare statute was unconstitutional because it conflicted with the Social Security Act.  The New York statute required recipients to cooperate in a support action against a missing parent or they would not receive benefits.  The Social Security Act
89,Cox Broadcasting Corporation v. Cohn,https://api.oyez.org/cases/1974/73-938,Cox Broadcasting Corporation,Cohn,,,"<p>Martin Cohn was the father of a seventeen-year old girl who was raped and killed in Georgia. After obtaining information from the public record, a television station broadcast the name of Cohn's daughter in connection with the incident. This violated a Georgia privacy statute which prevented memb"
90,"Colonial Pipeline Company v. Joseph N. Triagle, Collector of Revenue of Louisiana",https://api.oyez.org/cases/1974/73-1595,Colonial Pipeline Company,"Joseph N. Triagle, Collector of Revenue of Louisiana",,,"<p>Colonial Pipeline Company is a Delaware corporation that operates a pipeline running from Texas to New York carrying petroleum.  Colonial challenged a Louisiana corporation franchise tax, stating that all of their business in Louisiana was interstate.  Colonial maintained no offices in Louisiana "
91,Bigelow v. Virginia,https://api.oyez.org/cases/1974/73-1309,Bigelow,Virginia,,,"<p>A Virginia statute made it a misdemeanor for ""any person, by publication, lecture, advertisement, or by the sale or circulation of any publication, or in any other manner, [from encouraging] or [prompting] the procuring of abortion or miscarriage."" Bigelow, director and managing editor of the Vir"
92,National League of Cities v. Usery,https://api.oyez.org/cases/1974/74-878,National League of Cities,Usery,,,"<p>In 1974, Congress passed amendments to the Fair Labor Standards Act of 1938. The purpose of the amendments was to regulate minimum wage and overtime pay for state and local government employees. The National League of Cities, as well as several states and cities, challenged the constitutionality "
93,Jack Roland Murphy v. Florida,https://api.oyez.org/cases/1974/74-5116,Jack Roland Murphy,Florida,,,"<p>In 1970, Jack Roland Murphy was convicted of breaking and entering a dwelling with intent to commit robbery while armed and/or assault, and was sentenced to life in prison. Murphy filed for change of venue because of media coverage of his previous crimes. Murphy was made famous by his involvement"
94,Anthony Pasquall Faretta  v. California,https://api.oyez.org/cases/1974/73-5772,Anthony Pasquall Faretta ,California,,,"<p>Anthony Pasquall Faretta was charged with grand theft. He filed a request to represent himself in the Superior Court of Los Angeles County. The judge initially accepted the request, but later called Faretta back in to question him about his knowledge of the hearsay rule and other court procedures"
95,"Allen F. Breed, Director of California Your Authority  v. Gary Steven Jones",https://api.oyez.org/cases/1974/73-1995,"Allen F. Breed, Director of California Your Authority ",Gary Steven Jones,,,"<p>A juvenile court found 17-year-old Gary Jones guilty of acts that would constitute robbery if he were tried as an adult.  After the hearing, the court determined that Jones should be prosecuted as an adult.  Jones filed for habeas corpus, arguing that the criminal trial put him in double jeopardy"
96,Michael Anthony Maness  v. The Honorable James R. Meyers,https://api.oyez.org/cases/1974/73-689,Michael Anthony Maness ,The Honorable James R. Meyers,,,"<p>Michael Maness, a lawyer, represented a client convicted of selling obscene magazines in violation of a city ordinance.  The city attorney requested a subpoena to produce 52 such magazines in order to obtain an injunction to prevent their further sale.  Maness advised his client not to produce th"
97,Julian Vell v. Ford Motor Company,https://api.oyez.org/cases/1974/73-1994,Julian Vell,Ford Motor Company,,,"<p>Julian Vella, a seaman on the SS Robert MacNamara, suffered a severe head injury while doing a repair on the ship.  This caused damage to Vella’s inner ear, making it difficult for him to balance.   Doctors ruled the condition permanent and incurable.   A jury awarded Vella maintenance and cure f"
98,United States v. Felix Humberto Brignoni-Ponce,https://api.oyez.org/cases/1974/74-114,United States,Felix Humberto Brignoni-Ponce,,,"<p>On March 11, 1973, border patrol agents stopped Felix Humberto Brignoni-Ponce’s car based on the fact that the occupant’s appeared to be of Mexican descent. Upon questioning the passengers, the agents determined that they were illegal immigrants. The agents arrested everyone, and Brignoni-Ponce w"
99,"William B. Saxbe, United Farm Workers Organizing Committee v. Robert Bustos, et al.",https://api.oyez.org/cases/1974/73-300,"William B. Saxbe, United Farm Workers Organizing Committee","Robert Bustos, et al.",,,<p>These are two consolidated cases involving the Immigration and Naturalization Service (INS) practice of allowing aliens from Canada and Mexico to immigrate daily or seasonally to the U.S. to work.  The practice granted the aliens “special immigrant” status and authorized them to be “lawfully admi
100,"Bowman Transportation, Inc., et al. v. Arkansas-Best Freight System, Inc. et al.",https://api.oyez.org/cases/1974/73-1055,"Bowman Transportation, Inc., et al.","Arkansas-Best Freight System, Inc. et al.",,,"<p>These are five consolidated cases involving 13 motor carriers who filed for certificates with the Interstate Commerce Commission (ICC) in order to conduct business between the southwestern and southeastern United States.  The ICC rejected all but three applications.  Bowman Transportation, Inc., "
101,"United States v. Mississippi Tax Commission, et al.",https://api.oyez.org/cases/1974/74-548,United States,"Mississippi Tax Commission, et al.",,,<p>The Mississippi Tax Commission (MTC) passed a regulation requiring out-of-state liquor distributors to collect a tax for liquor sold on Mississippi military installations.  The tax resulted in a price mark-up for liquor sold on military installations.  The MTC sent a letter to liquor distributors
102,"Harris County Commissioners Court, et al. v. Richard E. Moore, et al.",https://api.oyez.org/cases/1974/73-1475,"Harris County Commissioners Court, et al.","Richard E. Moore, et al.",,,"<p>The Harris County Commissioners Court voted to redistrict and consolidate several small districts.  This left several justices of the peace and constables without positions before the end of their terms.  The justices of the peace and constables sued to enjoin the redistricting, alleging equal pr"
